text,timestamp,likes,retweets
"🏈 You heard JJ Watt! Kyle Field is obviously the place to be on college game days!🔥 WHOOP👍

What is your favorite gameday tradition, whether it's A&amp;M or your own tradition?

Send us your gameday photos to be featured on our social media!

#Aggie #12thMan #GigEm #FootballSeason https://t.co/9Pw29DjnPe",Tue Sep 17 14:07:30 +0000 2024,3,0
"Matchup I’ll be watching tomorrow as the #Aggies take on the #Gators:

🔘 DE Nic Scourton vs LT Austin Barber

Barber is Gators highest rated OL thru 2 games (PFF) w/ a 72.5.

While Scourton is looking to find his groove &amp; add to his sack total on the year (1). #12thman #GigEm https://t.co/9Y0q4AOXvt",Sat Sep 14 00:10:12 +0000 2024,10,4
"Defense back on the field for the Aggies.

Huge TFL for Daymion Sanford to start this drive!

#GigEm | #12thMan",Sun Sep 22 02:13:42 +0000 2024,2,1
"POV: you're raising the #12thMan flag with Kam Chancellor. 💪

#seahawks #gohawks #seattlesports https://t.co/4J3mKO77iS",Sun Sep 08 21:01:04 +0000 2024,3150,203
"Home from the @BYUfootball game, and still just absolutely buzzing - wildest game I've seen in a long time!  There's nowhere better to watch a football game than a night game at LES! #GoCougs #BYUFootball #12thman",Sun Sep 22 08:43:33 +0000 2024,4,0
"12th Man is at airport, waiting for a flight from south east asia. 😉
Someone very special is scheduled to arrive.
#12thMan https://t.co/vnOunDvn6X",Wed Jul 17 22:31:10 +0000 2024,494,8
🤠💪🏼@AggieFootball @CoachWiz77 @CoachMikeElko @CoachCushing  #Gigem #BTHO #TAMU #12thMan https://t.co/BCUnxw3Nlq,Tue Sep 10 01:20:53 +0000 2024,68,5
"Impressive first quarter capped off with a TD throw for Marcel Reed.

He’s looked confident &amp; comfortable so far. Arm talent to go with the obvious athletic ability, Aggies have a good one.

#12thMan #GigEm

 https://t.co/fzDjJ13FCd",Sat Sep 14 20:25:39 +0000 2024,57,1
"INTERCEPTION!

Marcus Ratcliffe picks off Bazelak in the end zone!

#GigEm | #12thMan",Sun Sep 22 02:43:35 +0000 2024,2,0
"📍Kyle Field, College Station, Texas.

Keep it locked here for updates throughout the evening as the Texas A&amp;M Aggies face off against the Bowling Green Falcons.

#12thMan #GigEm https://t.co/ZD3EO4yhSg",Sat Sep 21 20:28:58 +0000 2024,11,1
"Road Trippin’ to Omaha w/ Easton for the CWS!

⚾️🛣️🚐

Day 6 - Even more extreme putt-putt (haven’t won yet), lost to E in actual golf, tried one of these Runza things (not great) and finally beat him in something … darts! 🤣🤷🏼‍♂️

#CWS #12thMan #GigEm https://t.co/L6lqLVxaYy",Wed Jun 19 00:38:50 +0000 2024,54,0
Aggie players leave for the ballpark in an epic #12thMan send-off! ‼️‼️🔥🔥 https://t.co/PdzmEVbf8t,Sun Jun 23 16:20:09 +0000 2024,476,22
