,event,preprocessed_text
77,Other / Unknown,nan
78,Other / Unknown,nan
79,Other / Unknown,nan
80,Other / Unknown,nan
81,Other / Unknown,nan
82,Other / Unknown,nan
83,Other / Unknown,nan
84,Other / Unknown,nan
85,Other / Unknown,nan
86,Other / Unknown,nan
87,Other / Unknown,nan
88,Other / Unknown,nan
89,Other / Unknown,nan
90,Other / Unknown,nan
91,Other / Unknown,nan
92,Other / Unknown,nan
93,Other / Unknown,nan
94,Other / Unknown,nan
95,Other / Unknown,nan
96,Other / Unknown,nan
97,Other / Unknown,nan
98,Other / Unknown,nan
99,Other / Unknown,nan
100,Other / Unknown,nan
101,Other / Unknown,nan
102,Other / Unknown,nan
103,Other / Unknown,nan
104,Other / Unknown,nan
105,Other / Unknown,nan
106,Other / Unknown,nan
107,Other / Unknown,nan
108,Other / Unknown,nan
109,Other / Unknown,nan
110,Other / Unknown,nan
111,Other / Unknown,nan
112,Other / Unknown,nan
113,Other / Unknown,nan
114,Other / Unknown,nan
115,Other / Unknown,nan
116,Other / Unknown,nan
117,Other / Unknown,nan
118,Other / Unknown,nan
119,Other / Unknown,nan
120,Other / Unknown,nan
121,Other / Unknown,nan
122,Other / Unknown,nan
123,Other / Unknown,nan
124,Other / Unknown,nan
125,Other / Unknown,nan
126,Other / Unknown,nan
127,Other / Unknown,nan
128,Other / Unknown,nan
129,Other / Unknown,nan
130,Other / Unknown,nan
131,Other / Unknown,nan
132,Other / Unknown,nan
133,Other / Unknown,nan
134,Other / Unknown,nan
135,Other / Unknown,nan
136,Other / Unknown,nan
137,Other / Unknown,nan
138,Other / Unknown,nan
139,Other / Unknown,nan
140,Other / Unknown,nan
141,Other / Unknown,nan
142,Other / Unknown,nan
143,Other / Unknown,nan
144,Other / Unknown,nan
145,Other / Unknown,nan
146,Other / Unknown,nan
147,Other / Unknown,nan
148,Other / Unknown,nan
149,Other / Unknown,nan
150,Other / Unknown,nan
151,Other / Unknown,nan
152,Other / Unknown,nan
153,Other / Unknown,nan
154,Other / Unknown,nan
155,Other / Unknown,nan
156,Other / Unknown,nan
157,Other / Unknown,nan
158,Other / Unknown,nan
159,Other / Unknown,nan
160,Other / Unknown,nan
161,Other / Unknown,nan
162,Other / Unknown,nan
163,Other / Unknown,nan
164,Other / Unknown,nan
165,Other / Unknown,nan
166,Other / Unknown,nan
167,Other / Unknown,nan
168,Other / Unknown,nan
169,Other / Unknown,nan
170,Other / Unknown,nan
171,Other / Unknown,nan
172,Other / Unknown,nan
173,Other / Unknown,nan
174,Other / Unknown,nan
175,Other / Unknown,nan
176,Other / Unknown,nan
177,Other / Unknown,nan
178,Other / Unknown,nan
179,Other / Unknown,nan
180,Other / Unknown,nan
181,Other / Unknown,nan
182,Other / Unknown,nan
183,Other / Unknown,nan
184,Other / Unknown,nan
185,Other / Unknown,nan
186,Other / Unknown,nan
187,Other / Unknown,nan
188,Other / Unknown,nan
189,Other / Unknown,nan
190,Other / Unknown,nan
191,Other / Unknown,nan
192,Other / Unknown,nan
193,Other / Unknown,nan
194,Other / Unknown,nan
195,Other / Unknown,nan
196,Other / Unknown,nan
197,Other / Unknown,nan
198,Other / Unknown,nan
199,Other / Unknown,nan
200,Other / Unknown,nan
201,Other / Unknown,nan
202,Other / Unknown,nan
203,Other / Unknown,nan
204,Other / Unknown,nan
205,Other / Unknown,nan
206,Other / Unknown,nan
207,Other / Unknown,nan
208,Other / Unknown,nan
209,Other / Unknown,nan
210,Other / Unknown,nan
211,Other / Unknown,nan
212,Other / Unknown,nan
213,Other / Unknown,nan
214,Other / Unknown,nan
215,Other / Unknown,nan
216,Other / Unknown,nan
217,Other / Unknown,nan
218,Other / Unknown,nan
219,Other / Unknown,nan
220,Other / Unknown,nan
221,Tennessee,aggies win for the first time in school history your fightin texas aggies are playing for a baseball national title this weekend in omaha agswin cherthewin bthotennessee
222,Tennessee,your fightin texas aggies win uno mas agswin cherthewin bthotennessee
223,field goal,college football saturday u texas aampm ml big game for tamu crowd should be jumping at home defenses will keep this game close aggies win by a field goal u north carolina unc never lost to pitt in chapel hill rebound game for the boys in
224,football game,were back with the upcoming tamu vs notre dame football game this weekend here are a few parking reminders from tti traffic expert debbie albert bthonotredame
225,football game,i think we have more people in the stands for an aampm exhibition baseball game than mizzou gets for a football game
226,football game,getting ready for the and football game this weekend howre we feeling clarkeagles
227,football game,join us for a tailgate for the tamu vs bowling green football game food and alcoholic beverages will be provided
